index,bnf_code,bnf_name,practice,stripped_bnf
10052,0106020M0BBAGAT,Skinnies Silk Leggings 6-24 Months Silk,Y05742,010602
10053,22506055016,P Respironics PersonalBest Stnd Range Pe,P81727,225060
10054,0704050R0BBAAAA,Zoledronic Acid_I/VInf 50mcg/ml 100ml Vl,M85741,070405
10055,21270002017,N-A Dress 19cm x 9.5cm Type 1 Ktd Viscos,F85703,212700
10056,0402010ABAAAEAE,Vanilla Blush_Supp/Belt Male Briefs Blk,E87702,040201
10057,23604106494,KoCarbon Occlusive 10cmx25cm Wound Dress,E82014,236041
10058,23945909442,Natragen_Glucosam+Chond Cap 400mg/100mg,F84070,239459
10059,0404000S0AAAEAE,Hygroton_Tab 50mg,Y04307,040400
1006,20100000621,Omeprazole_Liq Spec 2.5mg/5ml,B81080,201000
10060,20200000214,Viramune_Tab 50mg M/R,Y04973,202000
10061,22902409110,Dansac_Nova 2 E/Fld Lge Drnbl Pouch Opqe,Y04811,229024
10062,1201010B0AAAFAF,L-Dopa/C-Dopa/Entacap_Tab125/31.25/200mg,M81056,120101
10063,090402000BBINA0,CellCept_Cap 250mg,B83699,090402
10064,0501013B0BCAIAH,HealthAid_Glucosamine Sulf Tab 1g,M92657,050101
10065,20050300268,KerraMaxCare Border 16cm x 16cm Wound Dr,Y04636,200503
10066,1001010C0AAAFAF,PermaFoam 10cm x 10cm Wound Dress Polyur,Y04080,100101
10067,23305951010,Osmach_Transdermal Patch 75mcg/hr,Y00650,233059
10068,0408010N0AAAIAI,Dermol 600_Bath Emollient,M86001,040801
10069,21300000161,Ins Tresiba_FlexTouch 200u/ml 3ml Pf Pen,Y03110,213000
1007,23605606125,G/F /L/P_Bisc,F81212,236056
10070,23301023107,Pristinamycin_Tab 500mg,E85692,233010
10071,21270001747,Coloplast_Simpla Plus Leg Bag 500ml 50cm,N84624,212700
10072,0407041R0BBACAC,B.Braun_Lockring 2 Drnbl Bag Wte 50mm,H82008,040704
10073,0604011G0AABEBE,DermaSilk Leggings 0-3 Months Silk Garme,J82116,060401
10074,20030800040,SNaP Dress Kit Foam 10cm x 10cm Wound Dr,P82613,200308
10075,0206020C0BRACAU,Acetylcy_Tab 200mg,F81153,020602
10076,21270001263,Jobskin MTM Premium Pockets For Lower Ex,Y04103,212700
10077,091102000BBGSA0,OxyNorm_Cap 10mg,Y05704,091102
10078,0403040F0AAABAB,Gamolenic Acid/Vit E_Cap 90mg/10u,B86030,040304
10079,20020200504,365 Non Adherent 5cm x 5cm Pfa Plas Face,Y04680,200202
1008,0407020M0BBAAAE,Caffeine Cit_Liq Spec 100mg/5ml,Y04494,040702
10080,20090000504,Prednisolone Sod Phos_Eye Dps 0.25%,N81051,200900
10081,20030600412,Rusch Flocath Hydro Gel Fle 8-16 Olive T,G82063,200306
10082,1001050B0BCABAB,Dequalinium Chlor_Loz 250mcg,F83686,100105
10083,23940709776,Jade_Ostomy Girdle & Panti-Brief,K83066,239407
10084,0501120L0AABFBF,Desoximetasone/Salic Acid_Lot 0.25%/1%,Y03485,050112
10085,0212000X0AAABAB,Cyclogest_Pess 200mg,Y03793,021200
10086,23353453768,Covidien Dover All Slc Foy Male 12-22 10,H84049,233534
10087,0208020V0AAASAS,Mintreleq XL_Tab 200mg,Y05456,020802
10088,23600706336,Exufiber 4.5cm x 10cm Wound Dress Protea,Y05227,236007
10089,21200000026,Ascorbic Acid_Tab 1.5g M/R,P92004,212000
1009,22502655001,Baxter_Chlorhex Acet Top Irrig 0.02% 1L,C83052,225026
10090,0309010X0BSAAAL,Imodium Plus_Comfort Tab,Y02757,030901
10091,0407020B0BKAAAH,Sod Chlor_I/V Inf 0.9% 5ml Amp,Y04210,040702
10092,20032100077,Oxeltra_Tab 80mg M/R,M85679,200321
10093,0206010F0BQAAA5,ActivHeal Hydrocolloid 15cm x 15cm Wound,Y05155,020601
10094,23603456324,Hydrocort_Cap 2.5mg,M82010,236034
10095,0103020P0AAAAAA,Megestrol Acet_Liq Spec 160mg/5ml,Y04795,010302
10096,0205052N0BBAAAA,CUI_Fulcionel Ostomy/Hernia Support Belt,P87649,020505
10097,0302000C0BFABAB,Convatec_Combihesive Natura Stomahesive,E85127,030200
10098,090402000BBNXA0,Dulco-Lax_Liq 5mg/5ml S/F (Old),P81692,090402
10099,21270001109,Paracet/Ibuprofen_Tab 500mg/150mg,K83010,212700
101,21200000048,Payne_Gu Stoke Mandeville Condom App + 5,P81742,212000
1010,23353353685,Juzo Expert Custom Fit Class 4 B/Knee Ly,M81025,233533
10100,22502405014,Methotrexate_Inj 15mg/0.6ml Pfs (Old),B82636,225024
10101,20030900135,N/Own_High-Pot Fish Oil Cap 550mg,C82024,200309
10102,20031400030,Sigvaris MTM Optiform Flex Class 1 B/Kne,C81067,200314
10103,090401080BDAGBD,Kendall AMD 15cm x 15cm Wound Dress Poly,Y00052,090401
10104,20030100110,Memantine HCl_Oral Soln 10mg/ml S/F,M87640,200301
10105,0406000J0BBABAC,Zn Ox 1.25cm x 5m Surg Adh Tape,E87047,040600
10106,0901060I0AAAMAM,Minims_Prednisolone Sod Phos Ud 0.5%,Y02197,090106
10107,0501021L0AAAHAH,Comfeel Plus Ulcer 10cm x 10cm Wound Dre,E82051,050102
10108,0504010Y0AAAFAF,Oakmed_Option Drnbl Ileo Pch Opqe 45mm D,B84010,050401
10109,1501030D0AAAPAP,Adizem-XL_Cap 180mg,P81038,150103
1011,0304010AFBBAAAA,Frebini_Energy Liq (2 Flav),Y04614,030401
10110,21220000123,M.Sauer_Smartflow Cath Valve,Y04562,212200
10111,091200000BFTVA0,Zoton_Cap 30mg (E/C Gran),Y01801,091200
10112,20020201113,Sigvaris Acc For MTM Optiform Hold Zip +,G85127,200202
10113,0906040G0BFAABD,Dansac_Long Ostomy Belt Beige 150cm,A89002,090604
10114,20030800165,Levothyrox Sod_Liq Spec 250mcg/5ml,M85071,200308
10115,23450454500,OptiChamber Diamond,K83023,234504
10116,23604106086,Viteyes 2 + Omega 3_Cap,Y02233,236041
10117,23354803620,O/Wov 7.5cm x 5m Type 1 Band,C86001,233548
10118,22205302001,Disipal_Tab 50mg,G83003,222053
10119,0501040H0AAAQAQ,Cepton_Clr Gel,G82715,050104
1012,1103010C0BHABAD,Coloplast_Assura Insp Soft Seal Bag Midi,B83656,110301
10120,0103010T0AAAJAJ,Juzo Expert Custom Fit Class 2 Thigh Foo,H84632,010301
10121,20030100120,Botox_Inj 100u Vl,A89036,200301
10122,040702040BSACAE,Phenobarb_Liq Spec 10mg/5ml,C86014,040702
10123,0205052V0BBAFAJ,B.Braun_Pref Drnbl Ileo Bag Beige 30mm,L84620,020505
10124,22303953115,Arava_Tab 10mg,D81007,223039
10125,0109040N0AAAZAZ,Budelin Novolizer_Inh 200mcg 100D Ref,G83647,010904
10126,21270002224,Clexane_Inj 150mg/ml 0.8ml Pfs,L84031,212700
10127,1003020P0AAAHAH,Cutimed Sorbion Sach Border 15x15cm Woun,Y00343,100302
10128,1104010S0AABNBN,Phlexy-Vits_Pdr Sach 7g,P87610,110401
10129,1311040K0BCAHAT,Zamadol SR_Cap 200mg,J82669,131104
1013,21270000688,Pure Health_Vit B6 Tab 10mg,N85046,212700
10130,0407020A0BNABBI,TEE2 (Reagent)_Strips,Y02722,040702
10131,20020200370,Oakmed_Option Colo Pouch Opqe S/H 20mm,C88068,200202
10132,20031600069,Juzo Expert Custom Fit Class 1 B/Knee Ly,N84023,200316
10133,1914010A0BLAAAS,Salts_Second Nature Flng 57mm Wafer 134,E85129,191401
10134,21270000969,Jade_Eurosleeve Stnd (34-39cm),C82123,212700
10135,1311010A0AAAAAA,Augmentin_Inj I/V 600mg Vl (Dry),G85125,131101
10136,0403010V0BBAAAD,Dexameth_Tab 2mg,M83624,040301
10137,0402010C0AAAAAA,DryMax Extra 20cm x 30cm Wound Dress Pro,Y04833,040201
10138,21380000113,Prasugrel_Tab 10mg,Y02080,213800
10139,130802000BBAHA0,Oakmed_Option Colo Plus Pouch Clr 30mm,Y04430,130802
1014,0206020C0BMADAW,Askina Carbosorb 10cm x 20cm Wound Dress,L81070,020602
10140,20030200025,Convatec_Esteem+ Closed Pouch Stnd Opqe,G82058,200302
10141,131002030AAACAC,Zaroxolyn_Tab 5mg,Y03715,131002
10142,21300000124,Osmolite HP_Liq,C85629,213000
10143,0501012H0BBAAAA,Opilon_Tab 40mg,Y05431,050101
10144,23604106468,Etanercept_Inj 25mg/0.5ml Pfs,Y03015,236041
10145,0704010W0BBAAAA,Ergocalciferol_Liq Spec 7 500u/5ml,M85005,070401
10146,0401010Z0AAAJAJ,Chlorpromazine HCl_Tab 100mg,M83018,040101
10147,0501070AABBAAAB,Allevyn Gentle Border Sacrum 21.6cmx23cm,Y05042,050107
10148,20090000675,Dansac_Unique Light Closed Pouch Opqe C/,L85016,200900
10149,20020200494,KerraPro 30 x 5 x 0.3cm Strip Low Fricti,C87609,200202
1015,0901030J0BBABAB,Milupa_Aptamil Comfort Milk,M87017,090103
10150,21270001989,Vanilla Blush_Supp/Belt Ladies Briefs +,Y03830,212700
10151,23600106323,Apomorph HCl_Inf 5mg/ml 10ml Pfs,B86047,236001
10152,0703050A0BCACAB,Cocaine HCl_Nsl Dps 10%,F81696,070305
10153,20150000021,Lyclear_Creme Rinse 1%,Y00200,201500
10154,0401010ADAAAUAU,Telzir_Tab 700mg,Y03336,040101
10155,1001010J0DHABAE,Kalms Herbal Sedative_Tab,E84053,100101
10156,20030200126,Jevity Promote_Liq,N85025,200302
10157,23603456398,Martapan_Oral Soln 2mg/5ml,G85091,236034
10158,22302953064,Carteolol HCl_Eye Dps 2%,M81075,223029
10159,190205500BCMFA0,Medline_Sureprep No-Sting Barrier Wipes,E82038,190205
1016,22800108015,SunVit-D3 2 000_Tab,C83080,228001
10160,1202010M0BCABAD,Melatonin_Oral Susp 10mg/5ml,G83039,120201
10161,21010900764,Pyridostig Brom_Oral Susp 50mg/5ml,C81100,210109
10162,0501120P0BBACAB,Doxepin_Cap 25mg,N85048,050112
10163,20031700035,Sod Dihyd Phos Anh/Sod Bic_Supp680/500mg,M83013,200317
10164,0208010W0BCAEAI,Sigvaris MTM Cotton Class 3 Thigh O/T +,Y04145,020801
10165,23941009796,Bullen Hi-Slip Kit Nelaton Male 8-18 (20,G82693,239410
10166,0407010ADAAABAB,Diflucortolone Val_Oint 0.1%,M85076,040701
10167,090900000BBKDA0,Kalms Night_One-A-Night Tab 500mg,Y02490,090900
10168,23965909614,Estradiol_Val Tab 2mg,M88016,239659
10169,23303243012,Alvedon_Paed Suppos 60mg,E83016,233032
1017,23944809673,Elvanse_Cap 70mg,F81113,239448
10170,21270000129,Actilite 20cm x 30cm Manuka Honey Ster G,L84014,212700
10171,1307000M0BFAAAP,Acetone_(L),P85614,130700
10172,23053370504,Avance Foam Dress Kit + ViewPad Lge Woun,G83030,230533
10173,0205051G0BCAAAA,Jade_Belt One Piece 102mm,Y01666,020505
10174,23600456141,Biatain Silicone Ag 12.5cm x 12.5cm Woun,Y04423,236004
10175,20020201108,Uvistat_Sun Crm Spf 30,Y03784,200202
10176,0206040ATBBAAAA,N-A Ultra 19cm x 9.5cm Type 1 Ktd Viscos,P91623,020604
10177,21270000857,Suscard Buccal_Tab 2mg,Y03857,212700
10178,23054100500,Propylene Glycol40%/Clobet But 0.05%_Crm,E82655,230541
10179,0407020A0BTACBY,Amlodipine_Liq Spec 2.5mg/5ml,L82052,040702
1018,0501013K0AAABAB,Calamine & Glycerine_Crm,K81027,050101
10180,23963359649,Motens_Tab 2mg,P81043,239633
10181,21270000973,Welland_Ovation Drnbl Pouch + Oval Skin,P81171,212700
10182,22505305006,Juzo Compression Wrap Calf Lymph Gmt,Y05436,225053
10183,23605606036,Mucaine_Susp S/F,Y04168,236056
10184,0601060D0DUAAA0,Starch Maize_Pdr,Y05424,060106
10185,0109010U0BCAAAB,Skinnies WEB High Top Long Sleeve Elasct,F82668,010901
10186,1104020N0AAAAAA,Megestrol Acet_Liq Spec 40mg/5ml,Y03752,110402
10187,1001030C0AABKBK,Amiodarone HCl_Oral Soln 100mg/5ml,Y01980,100103
10188,22501005071,Viazem XL_Cap 180mg,G81024,225010
10189,20031700208,Tretinoin_Gel 0.025%,L85042,200317
1019,0703010P0BFAAAC,Clomipramine HCl_Liq Spec 25mg/5ml,L83053,070301
10190,0601060D0BHAEA0,Oakmed_Option Colo Pouch Opqe 55mm,Y01051,060106
10191,20030600170,Diflucortolone Val_Oily Crm 0.1%,Y05191,200306
10192,20030100656,Haddenham Venex Class 1 Armsleeve Ex Wid,E84693,200301
10193,22303953081,Ins Detemir_100u/ml 3ml Pf Pen,B86025,223039
10194,20050300230,Adren_Pf Pen 1/1000 1mg/ml 0.3ml,M88628,200503
10195,0406000ADBBABAB,Ibuprofen_Tab 800mg M/R,Y04476,040600
10196,21270001155,Limb LimbO Adult 1/2 Leg Slim Build Wate,E84042,212700
10197,0408010AEBEAAAA,Vardenafil_Tab 10mg,J82169,040801
10198,20050300388,Juzo Attractive Custom Fit L/Limb CL2 Ti,B84013,200503
10199,23355603836,Barkat_G/F W/F Buckwheat Penne,Y03506,233556
102,0904010A0BRAABF,Nasacort_Allergy Nsl Spy 55mcg (30D),Y04668,090401
1020,1203010T0AAAAAA,Domperidone_Tab 10mg,Y03265,120301
10200,0407020ADBKABAF,Biotene Oralbalance_Dry Mth Moist Liq,H81119,040702
10201,23960709607,Canesten VC_Crm 10%,P84062,239607
10202,090402000BBGIA0,Juzo Expert Acc For U/Limb Shoulder Cap,K83026,090402
10203,20050300235,Juzo Expert Custom Fit Class 2 Tights Op,A82075,200503
10204,23604106092,Zemtard 240 XL_Cap 240mg,Y03874,236041
10205,0501022A0BBABAB,Pelican_Pelican Support Stoma Wstbnd Bei,B84003,050102
10206,0904010H0BJAFAA,Dexameth_Oral Soln 10mg/5ml S/F,P81035,090401
10207,0101012B0AABABA,Clini Duo40 Med Stkn + Compress Liner,F81043,010101
10208,23601256215,KerraLite Cool Non-Adh 18cm x 12.5cm Wou,E84626,236012
10209,23605606176,Dorzolamide/Timolol_EyeDps20mg/5mg/mlP/F,Y05607,236056
1021,0310000Q0BGAAAD,Convatec_Esteem Closed Pouch Lge Opqe P/,A87020,031000
10210,091200000BBWEA0,Nitro-Dur_Patch 10mg/24hrs,Y05735,091200
10211,23301083110,Clobazam_Liq Spec 50mg/5ml,E85028,233010
10212,20090001171,Caramet CR_Tab 25mg/100mg,Y04799,200900
10213,20030800127,Cutimed Siltec Heel 16cm x 24cm Wound Dr,E82079,200308
10214,21270001269,Praxilene_Cap 100mg,L81006,212700
10215,21270001363,Coloplast_G-Strap Abdomen,J82157,212700
10216,1001010P0AAACAC,Gentamicin Sulf_Inj 40mg/ml 2ml Amp,Y04206,100101
10217,1404000AMBBAAAA,Maxepa_Cap 1g,F82009,140400
10218,20090001093,Jobst Bella Lite Class 2 Combined A/Slee,F84062,200900
10219,0308000B0AAABAB,Furosemide_Inj 10mg/ml 25ml Amp,Y04101,030800
1022,22802408002,Betaloc_Tab 50mg,G82696,228024
10220,20050300291,Glucose_Oral Soln 75g/300ml,M84017,200503
10221,23800908008,Lamb_Riboflavin (Vit B2) Cap 50mg (8043),Y05612,238009
10222,20090000868,Mepilex XT 15cm x 16cm Wound Dress Soft,C81087,200900
10223,22301003066,Spycra Protect 7.5cm x 10cm Wound Dress,F81741,223010
10224,040801050AAADAD,Physeptone_Inj 10mg/ml 5ml Amp,M83027,040801
10225,23605906042,Oakmed_Option Colo Plus Soft 25mm Plat C,Y05457,236059
10226,0212000AIBBAAAA,Clomid_Tab 50mg,A83622,021200
10227,23962409621,Scholl_Corn Removal Polymer GelPlastr40%,P81780,239624
10228,21300000144,iMEDicare_Core Supporter Brief Ex Sml,F82665,213000
10229,090602400BBCDA0,Allpresan Diabetic Foam Crm Intensive 30,C81660,090602
1023,1308010Y0BCAAAB,Sotalol HCl_Tab 200mg,A81001,130801
10230,0906040N0AAFLFL,Risperidone_Tab 2mg,E85683,090604
10231,040201060BBAHAL,Rochester HydroSil Discreet Fle Size 10-,G82112,040201
10232,0106020M0AAAEAE,Pelican_Select Afresh Drnbl Pouch Clr Ma,P84684,010602
10233,040702050AAACAC,Bisacodyl_Oral Susp 2.5mg/5ml,C81647,040702
10234,0407020Q0BKACEH,Lido HCl_Inj 2% 20mg/ml 5ml Pfs,Y00243,040702
10235,0802040Y0AAADAD,Epilim 500_Tab E/C 500mg,Y02645,080204
10236,23941010040,Acticoat Flex 7 10cm x 12.5cm Wound Dres,F81632,239410
10237,20040200450,Bioclusive Plus 10cm x 12cm VP Adh Film,E83027,200402
10238,21270000541,Allevyn Life Sacrum 17.2cm x 17.5cm Woun,Y04878,212700
10239,21020000763,Skinnies Vest S/S Sml Adult Elasctd Visc,Y05405,210200
1024,21020000776,M.Sauer_Smartflow Child Leg Bag 210ml 30,Y05110,210200
10240,23350103666,Beechams_Flu-Plus Capl,B82628,233501
10241,090601100BBFVA0,Tena_3 in 1 Wash Crm,J81059,090601
10242,0101021B0BEAIAL,Insupen Needles Pen Inj Screw On 4mm/32,L83108,010102
10243,0207020Y0BBABAF,PremierPore 10cm x 20cm Adh Dress Pfa,M91033,020702
10244,0402010ABAAARAR,Hollister_Moderma Flex CeraPlusMaxiDrnbl,Y02568,040201
10245,23803068009,Convatec_Urodress Urost Pouch 25mm,Y05554,238030
10246,1001030L0AAACAC,Convatec_Combihesive Natura Flng Cap + F,E85727,100103
10247,23806508001,Clini Lge Cervical Collar Soft Foam,P81036,238065
10248,1001010J0AAABAB,Risperidone_Inj Pdr 37.5mg Vl + Dil,Y01260,100101
10249,1304000Z0BGACCJ,Innozide_Tab,Y02162,130400
1025,23944809525,Neupro_Transdermal Patch 4mg/24hrs,Y05295,239448
10250,23940459543,XMTVI Maxamaid_Pdr,P87019,239404
10251,0601021H0BBAAAB,Monobenzone 10%/Cetomacrogol_Crm (For A),B83049,060102
10252,20040200110,Pivmecillinam HCl_Tab 200mg,E83666,200402
10253,20090000552,Comfipression Hose Kit Ex Exlge Stkn + C,Y02912,200900
10254,0402030K0AAAFAF,Sunsense_Anti-ageing Face Lot SPF50,C88631,040203
10255,0103050P0AAAJAJ,Glutafin_G/F W/F Macaroni Penne,E82048,010305
10256,23960109773,PKU cooler 10_Liq (5 Flav),E83031,239601
10257,0803042P0BBABAC,Vismed Sod Hyaluronate Eye Dps 0.3ml Ud,Y01764,080304
10258,23960709603,Cefaclor_Oral Susp 250mg/5ml S/F,Y03508,239607
10259,1108010K0AACCCC,Lasilactone_Cap 50mg/20mg,L83047,110801
1026,21220000237,Boots_Max Strgh Sinus Relief Cap,Y04529,212200
10260,190800000AABTBT,Jobst Elvarex Plus For U/Extrem CL1 Gaun,L81125,190800
10261,0304030C0AAAYAY,Bragg's_Cap,P92607,030403
10262,21270000277,Altipress 40 Ulcer Kit Short Ex Exlge St,A81053,212700
10263,23255952503,Santizor XL_Cap 4mg,P83612,232559
10264,21270001882,Ensure Shake_Oral Pdr Sach 57g (Choc),J82138,212700
10265,23304103051,Largactil_Inj 2.5% 25mg/ml 2ml Amp,F83680,233041
10266,23350703771,Mesalazine_Enem 1g In 100ml,P81104,233507
10267,20090000451,Shingles (H/Z)_Vac (Live) Pdr+0.5ml PFs,F81098,200900
10268,0601011P0AAACAC,Polyfusor_Glucose 5% 500ml,Y03135,060101
10269,1306010F0BBAAAA,NatraHealth_Glucosamine Sulf Cap 500mg,P83023,130601
1027,1003020F0BBAAAA,Tielle Lite 8cm x 20cm Wound Dress Polyu,N81050,100302
10270,20050400101,Lamotrigine_Liq Spec 37.5mg/5ml,M81627,200504
10271,0501050B0AAABAB,Dolenio_Tab 1.5g,B83069,050105
10272,0702020F0AAAEAE,Askina Derm 10cm x 12cm VP Adh Film Dres,F81013,070202
10273,0301011R0BEAMBG,Ketovite_Tab,Y03145,030101
10274,23941009368,Timolol_Eye Dps 0.25% P/F,Y00790,239410
10275,091200000BFPWEQ,Methotrexate_Inj 7.5mg/0.15ml PF Dev,Y04142,091200
10276,21270001894,SOS_Rehyd Pdr Sach (Mango),E84699,212700
10277,091200000BFSAA0,Unistik Touch Lancets 1.5mm/30 Gauge,C84691,091200
10278,1501043A0BBABAC,Haddenham Custom Pertex Class 3 A/Sleeve,P84056,150104
10279,23706607000,Medikinet XL_Cap 60mg,C83026,237066
1028,23905309006,Stelazine_Span 15mg,Y05618,239053
10280,20030100310,Welland_Aura 2 OvalConvex Flng+ManukaHon,K83622,200301
10281,20030900243,Optimum_Ugo 4weeks 2C Night Drain Kit,Y03244,200309
10282,0106040M0BGAFAA,AquaDerm Aq Crm,N82099,010604
10283,23941009702,Isosorbide Mononit_Cap 60mg M/R,H81659,239410
10284,0603020J0AACVCV,Haddenham Venex Microlight CL1 B/Knee Op,A87009,060302
10285,20030100595,Enopen Crm 150g,L83088,200301
10286,0604011G0AAABAB,Ensure Plus_Savoury Liq Feed,Y04365,060401
10287,20031600148,Sod Chlor_Soln 0.9%,P92648,200316
10288,23600706192,Gppe Tab_Elleste Duet 2mg,M87030,236007
10289,23944810013,Rhinolast_Nsl Spy 140mcg (136 D) 20ml,C86625,239448
1029,1001010P0AABDBD,Welland_Aura 2 Urost Pouch + Tap Midi 45,N85620,100101
10290,23350103767,Juzo Soft Class 1 Thigh Closed Toe Lymph,C82047,233501
10291,0103050P0AAALAL,ActivHeal Foam Adh 15cm x 15cm Wound Dre,H81086,010305
10292,0402010ABAAAHAH,Lamb_Vit D3 Cap 1 000u,N81055,040201
10293,21010900787,Sod Oxybate_Oral Soln 2.5g/5ml S/F,P88600,210109
10294,1108020C0AAACAC,Bosentan_Tab 62.5mg,M81066,110802
10295,22502955021,Minipress_Tab 2mg,H83639,225029
10296,20031000033,Fortuna Fast 7.5cm x 1m (Blue) Stkntte E,H81033,200310
10297,090402000BBMVA0,Bullen Hi-Slip Kit Nelaton Fle 8-16 (20-,J81017,090402
10298,0403040S0AAABAB,Paroxetine HCl_Tab 30mg,Y02884,040304
10299,0204000R0AADBDB,Predsol_Suppos 5mg,Y04573,020400
103,0206020R0BGACBE,Ins Apidra_100u/ml 10ml Vl,M91017,020602
1030,0606020W0BDAAAB,Aquacel Ag Foam Non-Adh 15cm x 20cm Woun,Y02581,060602
10300,23604106435,Nanova Therapy System Starter Kit 18cmx1,B81074,236041
10301,0503031B0AAAAAA,Unspecified Stkntte 12cm x 0.5m Elasctd,B81642,050303
10302,0205040D0BBAAAA,Tradorec XL_Tab 100mg,A81621,020504
